start_date;maxtemperature;maxrh;meantemperature;meanrh;mintemperature;minrh;location
27/08/2021;26,329;100;24,98066667;87,36979167;23,088;73,75488281;1
28/08/2021;25,477;84,25292969;24,31733333;66,73177083;23,28;54,54101563;1
29/08/2021;24,436;67,43164063;23,194;58,4391276;22,202;49,58496094;1
30/08/2021;23,881;82,66601563;22,29233333;79,43522135;20,603;73,97460938;1
31/08/2021;24,436;98,77929688;22,86766667;82,73925781;21,151;71,19140625;1
01/09/2021;23,809;93,79882813;22,18166667;82,16145833;19,936;74,53613281;1
02/09/2021;22,968;96,24023438;21,304;91,015625;20,103;83,64257813;1
03/09/2021;23,569;93,43261719;22,72333333;86,6780599;21,056;77,61230469;1
04/09/2021;24,05;100;21,57;96,74479167;19,294;90,234375;1
05/09/2021;26,256;100;23,49866667;94,41731771;20,936;90,96679688;1
06/09/2021;26,109;100;24,168;98,03873698;22,321;95,58105469;1
07/09/2021;26,012;100;25,227;100;24,629;100;1
08/09/2021;26,231;100;24,95433333;97,94921875;23,713;93,84765625;1
09/09/2021;25,55;100;24,711;92,78157552;23,785;86,88964844;1
10/09/2021;23,424;100;22,48266667;95,1578776;21,008;89,74609375;1
11/09/2021;25,016;98,41308594;22,472;89,53450521;20,007;81,640625;1
12/09/2021;25,04;96,65527344;23,29966667;95,32063802;21,819;93,50585938;1
13/09/2021;26,5;100;24,403;96,80175781;22,321;90,40527344;1
14/09/2021;26,426;100;24,97933333;100;23,617;100;1
15/09/2021;26,965;100;25,02166667;97,24934896;24,002;91,74804688;1
16/09/2021;23,352;100;22,435;98,72233073;20,865;96,97265625;1
17/09/2021;24,267;100;21,816;96,17513021;20,531;88,52539063;1
18/09/2021;22,992;98,55957031;22,24266667;94,91373698;21,151;92,67578125;1
19/09/2021;22,729;93,13964844;20,621;83,6344401;19,127;77,88085938;1
20/09/2021;19,627;100;18,295;92,91992188;17,106;78,75976563;1
21/09/2021;20,913;100;17,25433333;83,46354167;14,864;61,45019531;1
22/09/2021;21,963;83,25195313;19,93;75,75683594;18,319;70,09277344;1
23/09/2021;22,369;100;19,36766667;91,48763021;17,13;86,79199219;1
24/09/2021;22,968;100;20,91533333;92,23632813;18,913;80,71289063;1
25/09/2021;24,774;100;22,29566667;100;20,031;100;1
26/09/2021;23,208;100;23,192;95,36946615;23,16;89,2578125;1
27/09/2021;22,848;98,31542969;21,26433333;93,1233724;19,579;89,453125;1
28/09/2021;23,713;95,8984375;21,16366667;89,33105469;18,675;83,42285156;1
29/09/2021;22,872;98,38867188;21,161;85,40852865;19,722;75,80566406;1
30/09/2021;22,058;100;19,76366667;93,09895833;17,582;87,15820313;1
01/10/2021;21,413;100;19,54033333;97,34700521;18,319;92,04101563;1
02/10/2021;22,92;100;20,54233333;96,28092448;18,414;88,84277344;1
03/10/2021;23,256;100;22,617;100;22,106;100;1
04/10/2021;16,868;100;15,74433333;91,34114583;13,497;74,0234375;1
05/10/2021;20,507;100;17,07933333;91,27604167;14,721;84,20410156;1
06/10/2021;20,055;88,671875;18,09666667;82,11263021;16,63;78,3203125;1
07/10/2021;20,603;86,88964844;17,68366667;74,14550781;15,414;63,81835938;1
08/10/2021;19,222;76,46484375;17,66833333;67,83854167;16,487;60,64453125;1
09/10/2021;18,866;91,69921875;17,93833333;82,98339844;17,439;71,16699219;1
10/10/2021;18,699;75,09765625;17,60533333;72,99804688;16,987;71,33789063;1
11/10/2021;19,984;98,09570313;17,485;77,25423177;15,127;54,32128906;1
12/10/2021;19,579;87,84179688;17,76233333;82,08821615;15,461;71,53320313;1
13/10/2021;19,46;100;17,58066667;69,80794271;16,01;46,24023438;1
14/10/2021;17,629;82,20214844;15,76866667;66,23535156;13,81;52,80761719;1
15/10/2021;19,484;100;17,79433333;97,88411458;15,461;93,92089844;1
16/10/2021;17,891;100;17,05033333;94,42545573;16,249;85,05859375;1
17/10/2021;19,032;95,65429688;17,05666667;91,70735677;15,199;84,08203125;1
18/10/2021;20,15;100;18,715;99,1780599;17,201;97,53417969;1
19/10/2021;21,151;100;19,342;100;17,201;100;1
20/10/2021;20,913;100;20,19833333;95,92285156;19,627;87,76855469;1
21/10/2021;18,985;100;18,35833333;94,43359375;17,391;83,30078125;1
22/10/2021;17,272;96,50878906;16,04766667;86,83268229;14,146;79,73632813;1
23/10/2021;15,414;89,77050781;13,782;82,37304688;12,05;72,99804688;1
24/10/2021;18,461;95,72753906;15,75666667;71,29720052;12,751;57,44628906;1
25/10/2021;18,319;100;16,88266667;96,49251302;15,414;93,84765625;1
26/10/2021;18,271;100;16,50033333;94,5719401;14,505;88,20800781;1
27/10/2021;17,344;87,47558594;15,937;79,4921875;14,457;72,75390625;1
28/10/2021;17,653;96,85058594;15,93533333;93,44889323;13,666;87,890625;1
29/10/2021;18,652;100;16,25133333;100;13,353;100;1
30/10/2021;19,032;100;17,76366667;100;16,606;100;1
31/10/2021;19,032;100;17,67633333;100;16,606;100;1
01/11/2021;17,938;100;16,85933333;100;16,106;100;1
02/11/2021;15,318;100;13,34066667;89,46940104;12,098;82,95898438;1
03/11/2021;12,654;100;11,733;94,70214844;10,932;86,35253906;1
04/11/2021;12,944;100;10,809;91,72363281;9,163;85,00976563;1
05/11/2021;12,63;81,93359375;11,05733333;68,1233724;10,173;48,87695313;1
06/11/2021;13,522;57,44628906;11,841;48,79557292;9,854;41,77246094;1
07/11/2021;16,249;57,54394531;11,76833333;51,00097656;8,344;43,33496094;1
08/11/2021;14,122;79,51660156;13,06933333;66,96777344;11,613;53,24707031;1
09/11/2021;13,81;62,6953125;11,65266667;59,13085938;9,632;52,31933594;1
10/11/2021;14,002;100;13,32866667;83,12988281;12,727;67,21191406;1
11/11/2021;16,773;100;14,549;100;12,944;100;1
12/11/2021;15,557;100;15,20633333;88,1266276;14,768;74,75585938;1
13/11/2021;16,034;94,28710938;15,58066667;81,10351563;15,294;72,68066406;1
14/11/2021;14,697;99,34082031;14,28166667;90,89355469;14,074;79,66308594;1
15/11/2021;13,281;88,98925781;11,63333333;82,01497396;10,712;76,53808594;1
16/11/2021;13,088;100;11,64133333;85,62011719;10,369;67,72460938;1
17/11/2021;12,001;96,82617188;11,52333333;90,49479167;10,81;79,93164063;1
18/11/2021;12,074;98,31542969;10,26466667;97,3063151;8,841;95,43457031;1
19/11/2021;13,112;98,02246094;11,437;94,17317708;9,78;90,96679688;1
20/11/2021;13,642;100;11,873;100;9,879;100;1
21/11/2021;13,69;100;13,35333333;100;13,137;100;1
22/11/2021;12,001;100;11,507;100;10,81;100;1
23/11/2021;13,353;100;11,21666667;97,79459635;9,903;93,38378906;1
24/11/2021;11,929;100;11,36966667;100;10,834;100;1
25/11/2021;9,064;100;8,841;100;8,618;100;1
01/06/2021;26,1;99;21,76666667;82;17,4;65;2
02/06/2021;25;97;21,36666667;84;17,7;71;2
03/06/2021;25,4;90;21,5;78;17,6;66;2
04/06/2021;23,5;91;20,63333333;80;17,8;69;2
05/06/2021;25,8;75;21,26666667;65;16,7;55;2
06/06/2021;27,1;80;22,66666667;66;18,2;52;2
07/06/2021;27,7;88;22,2;73;16,7;58;2
08/06/2021;26,4;86;22,93333333;67,5;20,4;49;2
09/06/2021;28,8;77;23,53333333;59,5;18,3;42;2
10/06/2021;29,3;67;24,76666667;52,5;20,2;38;2
11/06/2021;31,6;59;26,1;48,5;20,6;38;2
12/06/2021;31,8;59;26,83333333;50;21,9;41;2
13/06/2021;32,9;74;28,06666667;57,5;23,2;41;2
14/06/2021;32,1;83;27,5;63,5;22,9;44;2
